Algorithm,TestType,ArraySize,Duration_ms
Bubble Sort,Mixed,100,0.4697
Bubble Sort,All Negative,100,0.4578
Bubble Sort,All Positive,100,0.5437
Bubble Sort,Already Sorted,100,0.0076
Bubble Sort,Reverse Sorted,100,0.0074
Heap Sort,Mixed,100,0.0327
Heap Sort,All Negative,100,0.0319
Heap Sort,All Positive,100,0.0323
Heap Sort,Already Sorted,100,0.0176
Heap Sort,Reverse Sorted,100,0.0152
Insertion Sort,Mixed,100,0.2514
Insertion Sort,All Negative,100,0.2607
Insertion Sort,All Positive,100,0.2993
Insertion Sort,Already Sorted,100,0.008
Insertion Sort,Reverse Sorted,100,0.0077
Selection Sort,Mixed,100,0.3558
Selection Sort,All Negative,100,0.3629
Selection Sort,All Positive,100,0.3575
Selection Sort,Already Sorted,100,0.3557
Selection Sort,Reverse Sorted,100,0.3617
Shell Sort,Mixed,100,0.0873
Shell Sort,All Negative,100,0.0721
Shell Sort,All Positive,100,0.0888
Shell Sort,Already Sorted,100,0.0387
Shell Sort,Reverse Sorted,100,0.0381
Quicksort,Mixed,100,0.1083
Quicksort,All Negative,100,0.0745
Quicksort,All Positive,100,0.0729
Quicksort,Already Sorted,100,0.0011
Quicksort,Reverse Sorted,100,0.0011
