Algorithm,TestType,ArraySize,Duration_ms
Bubble Sort,Mixed,10,0.0084
Bubble Sort,All Negative,10,0.0078
Bubble Sort,All Positive,10,0.0102
Bubble Sort,Already Sorted,10,0.0031
Bubble Sort,Reverse Sorted,10,0.0094
Bubble Sort,Mixed,50,0.1975
Bubble Sort,All Negative,50,0.1589
Bubble Sort,All Positive,50,0.1884
Bubble Sort,Already Sorted,50,0.0077
Bubble Sort,Reverse Sorted,50,0.0076
Bubble Sort,Mixed,100,0.6994
Bubble Sort,All Negative,100,0.871
Bubble Sort,All Positive,100,0.7427
Bubble Sort,Already Sorted,100,0.0172
Bubble Sort,Reverse Sorted,100,0.0172
Bubble Sort,Mixed,300,6.3926
Bubble Sort,All Negative,300,6.1231
Bubble Sort,All Positive,300,5.9438
Bubble Sort,Already Sorted,300,0.0469
Bubble Sort,Reverse Sorted,300,0.0428
Bubble Sort,Mixed,750,37.0903
Bubble Sort,All Negative,750,33.1492
Bubble Sort,All Positive,750,36.4533
Bubble Sort,Already Sorted,750,0.1708
Bubble Sort,Reverse Sorted,750,0.097
Bubble Sort,Mixed,1000,63.8852
Bubble Sort,All Negative,1000,56.6989
Bubble Sort,All Positive,1000,57.0691
Bubble Sort,Already Sorted,1000,0.1424
Bubble Sort,Reverse Sorted,1000,0.0956
Bubble Sort,Mixed,3000,546.806
Bubble Sort,All Negative,3000,524.274
Bubble Sort,All Positive,3000,533.988
Bubble Sort,Already Sorted,3000,0.3332
Bubble Sort,Reverse Sorted,3000,0.3288
Bubble Sort,Mixed,4500,1281.72
Bubble Sort,All Negative,4500,1226
Bubble Sort,All Positive,4500,1236.38
Bubble Sort,Already Sorted,4500,0.6121
Bubble Sort,Reverse Sorted,4500,0.4893
Bubble Sort,Mixed,6000,2259.95
Bubble Sort,All Negative,6000,2254.94
Bubble Sort,All Positive,6000,2225.75
Bubble Sort,Already Sorted,6000,0.6873
Bubble Sort,Reverse Sorted,6000,0.6908
Bubble Sort,Mixed,7000,2979.02
Bubble Sort,All Negative,7000,3371.04
Bubble Sort,All Positive,7000,3596.43
Bubble Sort,Already Sorted,7000,0.8063
Bubble Sort,Reverse Sorted,7000,1.0328
Bubble Sort,Mixed,8000,4466.46
Bubble Sort,All Negative,8000,4710.39
Bubble Sort,All Positive,8000,3977.19
Bubble Sort,Already Sorted,8000,1.3309
Bubble Sort,Reverse Sorted,8000,0.8646
Bubble Sort,Mixed,9000,5601.79
Bubble Sort,All Negative,9000,4847.99
Bubble Sort,All Positive,9000,4814.59
Bubble Sort,Already Sorted,9000,0.9858
Bubble Sort,Reverse Sorted,9000,1.1696
Bubble Sort,Mixed,10000,5913.84
Bubble Sort,All Negative,10000,5925.58
Bubble Sort,All Positive,10000,5937.18
Bubble Sort,Already Sorted,10000,1.1231
Bubble Sort,Reverse Sorted,10000,1.1678
Bubble Sort,Mixed,15000,13581.2
Bubble Sort,All Negative,15000,13563.6
Bubble Sort,All Positive,15000,13437
Bubble Sort,Already Sorted,15000,1.4971
Bubble Sort,Reverse Sorted,15000,1.8954
Bubble Sort,Mixed,20000,24741.9
Bubble Sort,All Negative,20000,29355.9
Bubble Sort,All Positive,20000,27004
Bubble Sort,Already Sorted,20000,2.4791
Bubble Sort,Reverse Sorted,20000,2.4777
Heap Sort,Mixed,10,0.008
Heap Sort,All Negative,10,0.0032
Heap Sort,All Positive,10,0.0051
Heap Sort,Already Sorted,10,0.0053
Heap Sort,Reverse Sorted,10,0.0063
Heap Sort,Mixed,50,0.0048
Heap Sort,All Negative,50,0.0219
Heap Sort,All Positive,50,0.0266
Heap Sort,Already Sorted,50,0.0134
Heap Sort,Reverse Sorted,50,0.0174
Heap Sort,Mixed,100,0.0388
Heap Sort,All Negative,100,0.0699
Heap Sort,All Positive,100,0.0643
Heap Sort,Already Sorted,100,0.0364
Heap Sort,Reverse Sorted,100,0.0357
Heap Sort,Mixed,300,0.0645
Heap Sort,All Negative,300,0.1897
Heap Sort,All Positive,300,0.2132
Heap Sort,Already Sorted,300,0.0889
Heap Sort,Reverse Sorted,300,0.1012
Heap Sort,Mixed,750,0.174
Heap Sort,All Negative,750,0.5406
Heap Sort,All Positive,750,0.5422
Heap Sort,Already Sorted,750,0.195
Heap Sort,Reverse Sorted,750,0.2132
Heap Sort,Mixed,1000,0.4873
Heap Sort,All Negative,1000,0.9027
Heap Sort,All Positive,1000,0.752
Heap Sort,Already Sorted,1000,0.3746
Heap Sort,Reverse Sorted,1000,0.272
Heap Sort,Mixed,3000,0.6545
Heap Sort,All Negative,3000,2.3971
Heap Sort,All Positive,3000,2.5352
Heap Sort,Already Sorted,3000,0.876
Heap Sort,Reverse Sorted,3000,0.9026
Heap Sort,Mixed,4500,2.7236
Heap Sort,All Negative,4500,3.5982
Heap Sort,All Positive,4500,3.503
Heap Sort,Already Sorted,4500,1.474
Heap Sort,Reverse Sorted,4500,1.2216
Heap Sort,Mixed,6000,3.517
Heap Sort,All Negative,6000,4.7527
Heap Sort,All Positive,6000,4.8514
Heap Sort,Already Sorted,6000,1.6374
Heap Sort,Reverse Sorted,6000,1.9742
Heap Sort,Mixed,7000,4.7791
Heap Sort,All Negative,7000,5.5201
Heap Sort,All Positive,7000,5.3373
Heap Sort,Already Sorted,7000,1.8752
Heap Sort,Reverse Sorted,7000,1.9703
Heap Sort,Mixed,8000,5.4264
Heap Sort,All Negative,8000,6.0192
Heap Sort,All Positive,8000,5.9671
Heap Sort,Already Sorted,8000,1.9474
Heap Sort,Reverse Sorted,8000,1.993
Heap Sort,Mixed,9000,7.0196
Heap Sort,All Negative,9000,7.0746
Heap Sort,All Positive,9000,7.0483
Heap Sort,Already Sorted,9000,2.3608
Heap Sort,Reverse Sorted,9000,2.3912
Heap Sort,Mixed,10000,7.093
Heap Sort,All Negative,10000,7.9938
Heap Sort,All Positive,10000,7.9206
Heap Sort,Already Sorted,10000,2.4593
Heap Sort,Reverse Sorted,10000,2.6966
Heap Sort,Mixed,15000,7.7502
Heap Sort,All Negative,15000,11.2449
Heap Sort,All Positive,15000,11.7787
Heap Sort,Already Sorted,15000,3.8045
Heap Sort,Reverse Sorted,15000,3.9494
Heap Sort,Mixed,20000,13.0674
Heap Sort,All Negative,20000,16.28
Heap Sort,All Positive,20000,14.8405
Heap Sort,Already Sorted,20000,4.7109
Heap Sort,Reverse Sorted,20000,6.1902
Insertion Sort,Mixed,10,0.0054
Insertion Sort,All Negative,10,0.0078
Insertion Sort,All Positive,10,0.0061
Insertion Sort,Already Sorted,10,0.0021
Insertion Sort,Reverse Sorted,10,0.007
Insertion Sort,Mixed,50,0.0901
Insertion Sort,All Negative,50,0.1193
Insertion Sort,All Positive,50,0.1044
Insertion Sort,Already Sorted,50,0.008
Insertion Sort,Reverse Sorted,50,0.0065
Insertion Sort,Mixed,100,0.4321
Insertion Sort,All Negative,100,0.3687
Insertion Sort,All Positive,100,0.2792
Insertion Sort,Already Sorted,100,0.015
Insertion Sort,Reverse Sorted,100,0.012
Insertion Sort,Mixed,300,2.9143
Insertion Sort,All Negative,300,2.9042
Insertion Sort,All Positive,300,2.9481
Insertion Sort,Already Sorted,300,0.0376
Insertion Sort,Reverse Sorted,300,0.049
Insertion Sort,Mixed,750,21.2882
Insertion Sort,All Negative,750,17.9672
Insertion Sort,All Positive,750,16.3351
Insertion Sort,Already Sorted,750,0.102
Insertion Sort,Reverse Sorted,750,0.104
Insertion Sort,Mixed,1000,32.899
Insertion Sort,All Negative,1000,30.7427
Insertion Sort,All Positive,1000,32.978
Insertion Sort,Already Sorted,1000,0.1182
Insertion Sort,Reverse Sorted,1000,0.2343
Insertion Sort,Mixed,3000,260.264
Insertion Sort,All Negative,3000,267.565
Insertion Sort,All Positive,3000,285.473
Insertion Sort,Already Sorted,3000,0.422
Insertion Sort,Reverse Sorted,3000,0.4137
Insertion Sort,Mixed,4500,607.427
Insertion Sort,All Negative,4500,598.269
Insertion Sort,All Positive,4500,594.043
Insertion Sort,Already Sorted,4500,0.5422
Insertion Sort,Reverse Sorted,4500,0.4657
Insertion Sort,Mixed,6000,1097.4
Insertion Sort,All Negative,6000,1046.79
Insertion Sort,All Positive,6000,1026.76
Insertion Sort,Already Sorted,6000,0.7968
Insertion Sort,Reverse Sorted,6000,0.6988
Insertion Sort,Mixed,7000,1431.19
Insertion Sort,All Negative,7000,1487.96
Insertion Sort,All Positive,7000,1467.99
Insertion Sort,Already Sorted,7000,0.9223
Insertion Sort,Reverse Sorted,7000,0.9099
Insertion Sort,Mixed,8000,1826.73
Insertion Sort,All Negative,8000,1958.34
Insertion Sort,All Positive,8000,1930.1
Insertion Sort,Already Sorted,8000,1.6953
Insertion Sort,Reverse Sorted,8000,0.972
Insertion Sort,Mixed,9000,2366.36
Insertion Sort,All Negative,9000,2372.93
Insertion Sort,All Positive,9000,2378.77
Insertion Sort,Already Sorted,9000,1.1678
Insertion Sort,Reverse Sorted,9000,1.0558
Insertion Sort,Mixed,10000,2976.49
Insertion Sort,All Negative,10000,3043.68
Insertion Sort,All Positive,10000,2970.27
Insertion Sort,Already Sorted,10000,1.1505
Insertion Sort,Reverse Sorted,10000,1.1973
Insertion Sort,Mixed,15000,6960.89
Insertion Sort,All Negative,15000,6272.98
Insertion Sort,All Positive,15000,5893.04
Insertion Sort,Already Sorted,15000,1.7961
Insertion Sort,Reverse Sorted,15000,1.632
Insertion Sort,Mixed,20000,10168.9
Insertion Sort,All Negative,20000,10555.6
Insertion Sort,All Positive,20000,12353.8
Insertion Sort,Already Sorted,20000,1.9518
Insertion Sort,Reverse Sorted,20000,1.9638
Selection Sort,Mixed,10,0.0106
Selection Sort,All Negative,10,0.0108
Selection Sort,All Positive,10,0.0075
Selection Sort,Already Sorted,10,0.0115
Selection Sort,Reverse Sorted,10,0.0073
Selection Sort,Mixed,50,0.1707
Selection Sort,All Negative,50,0.1777
Selection Sort,All Positive,50,0.1455
Selection Sort,Already Sorted,50,0.1726
Selection Sort,Reverse Sorted,50,0.1794
Selection Sort,Mixed,100,0.6922
Selection Sort,All Negative,100,0.7525
Selection Sort,All Positive,100,0.6654
Selection Sort,Already Sorted,100,0.6332
Selection Sort,Reverse Sorted,100,0.6707
Selection Sort,Mixed,300,5.2233
Selection Sort,All Negative,300,4.6694
Selection Sort,All Positive,300,4.9191
Selection Sort,Already Sorted,300,5.0059
Selection Sort,Reverse Sorted,300,4.9822
Selection Sort,Mixed,750,27.4447
Selection Sort,All Negative,750,27.2313
Selection Sort,All Positive,750,26.2112
Selection Sort,Already Sorted,750,26.3966
Selection Sort,Reverse Sorted,750,26.8984
Selection Sort,Mixed,1000,46.2652
Selection Sort,All Negative,1000,47.4024
